#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
110,Feature,New,Normal,Show offer details on preview screen,,20/05/2022 16:16,0
109,Feature,New,Normal,"Changes on screen place offer, enquiry, bid and quotes.",,20/05/2022 16:16,0
108,Feature,New,Normal,Changes on Home Screen for Trader,,20/05/2022 16:12,0
107,Feature,New,Normal,changes in setting screen according to the role assigned to the user,,20/05/2022 16:18,0
106,Feature,New,Normal,Changes in request and response structure of login and master download call,,20/05/2022 16:05,0
105,Feature,New,Normal,Funds Screen (Broker),,20/05/2022 15:54,0
104,Feature,New,Normal,My Transactions Screen,,20/05/2022 15:52,0
103,Feature,New,Normal,My Commission Screen,,20/05/2022 15:50,0
89,Change Request,New,Normal,80-20% Exwarehouse settlement flow,,19/05/2022 14:55,0
88,Feature,New,Normal,New Home Screen (Broker),,19/05/2022 13:16,0
82,Feature,New,Normal,Broker CR,,20/05/2022 15:50,0
50,Change Request,Resolved,Normal,Negotiable trade to be displayed as default trade type for Offer/Enquiry initiation in Krishivedh.,Bhavyakumar Thacker,27/04/2022 11:11,100
